date,no. tweets,Select,no_tweets
2021-03-10,15.0,fact-checking,
2021-03-11,23.0,fact-checking,
2021-03-12,11.0,fact-checking,
2021-03-13,15.0,fact-checking,
2021-03-14,11.0,fact-checking,
2021-03-15,20.0,fact-checking,
2021-03-16,27.0,fact-checking,
2021-03-17,21.0,fact-checking,
2021-03-18,21.0,fact-checking,
2021-03-19,14.0,fact-checking,
2021-03-20,19.0,fact-checking,
2021-03-21,11.0,fact-checking,
2021-03-22,18.0,fact-checking,
2021-03-23,16.0,fact-checking,
2021-03-24,10.0,fact-checking,
2021-03-25,13.0,fact-checking,
2021-03-26,11.0,fact-checking,
2021-03-27,6.0,fact-checking,
2021-03-28,3.0,fact-checking,
2021-03-29,19.0,fact-checking,
2021-03-30,10.0,fact-checking,
2021-03-31,9.0,fact-checking,
2021-04-01,11.0,fact-checking,
2021-04-02,7.0,fact-checking,
2021-04-03,12.0,fact-checking,
2021-04-04,1.0,fact-checking,
2021-04-05,2.0,fact-checking,
2021-04-06,8.0,fact-checking,
2021-04-07,11.0,fact-checking,
2021-04-08,3.0,fact-checking,
2021-04-09,17.0,fact-checking,
2021-04-10,6.0,fact-checking,
2021-04-11,4.0,fact-checking,
2021-04-12,9.0,fact-checking,
2021-04-13,5.0,fact-checking,
2021-04-14,8.0,fact-checking,
2021-04-15,8.0,fact-checking,
2021-04-16,5.0,fact-checking,
2021-04-17,9.0,fact-checking,
2021-04-18,8.0,fact-checking,
2021-04-19,5.0,fact-checking,
2021-04-20,17.0,fact-checking,
2021-04-21,15.0,fact-checking,
2021-04-22,7.0,fact-checking,
2021-04-23,9.0,fact-checking,
2021-04-24,4.0,fact-checking,
2021-04-25,0.0,fact-checking,
2021-04-26,4.0,fact-checking,
2021-04-27,3.0,fact-checking,
2021-04-28,4.0,fact-checking,
2021-04-29,6.0,fact-checking,
2021-04-30,2.0,fact-checking,
2021-05-01,9.0,fact-checking,
2021-05-02,7.0,fact-checking,
2021-05-03,12.0,fact-checking,
2021-05-04,15.0,fact-checking,
2021-05-05,10.0,fact-checking,
2021-05-06,9.0,fact-checking,
2021-05-07,14.0,fact-checking,
2021-05-08,10.0,fact-checking,
2021-05-09,7.0,fact-checking,
2021-05-10,11.0,fact-checking,
2021-05-11,15.0,fact-checking,
2021-05-12,18.0,fact-checking,
2021-05-13,12.0,fact-checking,
2021-05-14,7.0,fact-checking,
2021-05-15,6.0,fact-checking,
2021-05-16,8.0,fact-checking,
2021-05-17,14.0,fact-checking,
2021-05-18,13.0,fact-checking,
2021-05-19,17.0,fact-checking,
2021-05-20,6.0,fact-checking,
2021-05-21,7.0,fact-checking,
2021-05-22,3.0,fact-checking,
2021-05-23,4.0,fact-checking,
2021-05-24,9.0,fact-checking,
2021-05-25,13.0,fact-checking,
2021-05-26,15.0,fact-checking,
2021-05-27,6.0,fact-checking,
2021-05-28,7.0,fact-checking,
2021-05-29,7.0,fact-checking,
2021-05-30,8.0,fact-checking,
2021-05-31,8.0,fact-checking,
2021-06-01,14.0,fact-checking,
2021-06-02,12.0,fact-checking,
2021-06-03,4.0,fact-checking,
2021-06-04,2.0,fact-checking,
2021-06-05,13.0,fact-checking,
2021-06-06,5.0,fact-checking,
2021-06-07,10.0,fact-checking,
2021-06-08,10.0,fact-checking,
2021-06-09,3.0,fact-checking,
2021-06-10,7.0,fact-checking,
2021-01-01,,low/high credibility (%),18.86120996441281
2021-01-02,,low/high credibility (%),20.51948051948052
